Gemeente,NIS-code,"Mediaanprijs huizen, 2023(in euro)","Mediaanprijs huizen, 2014(in euro)",Categorie A-2023 EPC,Categorie A+-2023 EPC,Categorie B-2023 EPC,Categorie C-2023 EPC,Categorie D-2023 EPC,Categorie E-2023 EPC,Categorie F-2023 EPC,Aantal huishoudens-2020,Aantal huishoudens-2021,Aantal huishoudens-2022,Aantal huishoudens-2023,Aantal huishoudens-2024,Aantal huishoudens-2025,Aantal huishoudens-2026,Aantal huishoudens-2027,Aantal huishoudens-2028,Aantal huishoudens-2029,Aantal huishoudens-2030,Aantal huishoudens-2031,Aantal huishoudens-2032,Aantal huishoudens-2033,Aantal huishoudens-2034,Aantal huishoudens-2035,Aantal huishoudens-2036,Aantal huishoudens-2037,Aantal huishoudens-2038,Aantal huishoudens-2039,Aantal huishoudens-2040,Aantal eenpersoonshuishoudens 2020,Aantal eenpersoonshuishoudens 2021,Aantal eenpersoonshuishoudens 2022,Aantal eenpersoonshuishoudens 2023,Aantal eenpersoonshuishoudens 2024,Aantal eenpersoonshuishoudens 2025,Aantal eenpersoonshuishoudens 2026,Aantal eenpersoonshuishoudens 2027,Aantal eenpersoonshuishoudens 2028,Aantal eenpersoonshuishoudens 2029,Aantal eenpersoonshuishoudens 2030,Aantal eenpersoonshuishoudens 2031,Aantal eenpersoonshuishoudens 2032,Aantal eenpersoonshuishoudens 2033,Aantal eenpersoonshuishoudens 2034,Aantal eenpersoonshuishoudens 2035,Aantal eenpersoonshuishoudens 2036,Aantal eenpersoonshuishoudens 2037,Aantal eenpersoonshuishoudens 2038,Aantal eenpersoonshuishoudens 2039,Aantal eenpersoonshuishoudens 2040,Aandeel gebouwen met mogelijke wateroverlast in huidig klimaat,Aandeel gebouwen met mogelijke wateroverlast in 2050,Voldoende fietsinfrastructuur - oneens,Voldoende fietsinfrastructuur - neutraal,Voldoende fietsinfrastructuur - eens,Kwetsbare personen blootgesteld aan hittestress Hoog impact 2030,Kwetsbare personen blootgesteld aan hittestress Hoog impact 2050
Vlaams Gewest,2000,328800,225000,3.67,0.05,20.48,25.21,17.69,10.13,22.76,11365488,11455564,11565964,11712472,11797324,11868212,11916936,11961060,12013556,12068344,12125292,12183732,12240948,12302668,12363496,12424320,12482588,12538676,12592572,12644356,12693720,914020,929901,950143,971428,985833,996113,1003297,914020,929901,950143,971428,985833,996113,1003297,1008682,1014892,1021453,1028349,1034987,1040692,1048025,4.5,7.8,32,16,52,31.28,81.65
Aartselaar,11001,404850,280000,4.46,0,29.46,29.02,18.75,8.04,10.27,24252,24436,24660,24732,24920,25116,25272,25200,25252,25232,25204,25388,25468,25600,25556,25668,25728,25772,25848,25912,25988,1607,1640,1676,1663,1737,1792,1839,1607,1640,1676,1663,1737,1792,1839,1839,1860,1842,1829,1864,1876,1912,5.9,11.2,39,26,35,83.21,99.49
Antwerpen,11002,339000,220000,2.45,0,21.61,30.33,19.57,10.92,15.11,948148,950084,953652,970652,974444,977700,979144,979504,981580,984868,989780,994592,1000048,1005528,1010248,1015528,1020052,1024484,1029108,1033608,1037704,103464,103982,105283,108077,108680,108934,108876,103464,103982,105283,108077,108680,108934,108876,108535,108415,108661,109245,109758,110413,111152,14.3,22.8,29,15,56,89.92,99.73
Boechout,11004,451000,310000,2.34,0.58,27.49,25.15,15.2,9.94,19.3,21900,22444,23000,23120,23292,23536,23680,23844,23976,24128,24296,24528,24760,24944,25176,25388,25588,25752,25804,25840,26036,1543,1638,1731,1757,1766,1789,1774,1543,1638,1731,1757,1766,1789,1774,1780,1807,1820,1839,1875,1858,1872,3.7,5.8,12,10,78,59.96,96.6
Boom,11005,280000,180000,4.91,0,29.43,23.02,15.09,7.92,19.62,30668,31164,31056,31288,31576,31884,31992,32184,32328,32592,32948,33180,33384,33632,33816,34052,34424,34672,34948,35196,35324,2642,2706,2701,2716,2751,2783,2794,2642,2706,2701,2716,2751,2783,2794,2833,2828,2867,2906,2907,2887,2912,4,10.1,39,21,40,90.52,99.7
Borsbeek,11007,343500,260000,1.8,0,20.72,19.82,13.51,7.21,36.94,19220,19492,19680,19748,19900,19760,19748,19824,19916,19920,19960,20116,20256,20332,20480,20540,20684,20800,20836,20912,20956,1623,1645,1697,1703,1716,1698,1705,1623,1645,1697,1703,1716,1698,1705,1709,1695,1689,1694,1722,1731,1739,5.2,10.9,30,19,51,93.2,99.96
Brasschaat,11008,470000,308500,5.34,0.16,26.7,27.67,17.64,8.25,14.24,65532,65708,66168,66708,67084,67376,67584,67780,67908,68136,68192,68376,68532,68756,69036,69104,69444,69584,69792,70144,70448,4864,4887,5060,5124,5239,5301,5351,4864,4887,5060,5124,5239,5301,5351,5406,5450,5477,5469,5486,5495,5534,1.3,4.3,20,14,66,44.26,91.15
Brecht,11009,410000,296500,3.08,0,20.51,21.79,18.72,9.49,26.41,47908,48756,49532,49828,50544,51088,51608,52124,52388,52860,53276,53656,53912,54220,54652,55012,55344,55732,55948,56288,56452,2886,2962,3095,3111,3247,3329,3382,2886,2962,3095,3111,3247,3329,3382,3479,3467,3535,3599,3642,3654,3689,1.9,4.6,18,14,68,28.82,92.09
Edegem,11013,445000,288000,4.22,0.3,27.41,30.42,13.55,10.84,13.25,39104,39116,39380,40016,40180,40216,40244,40252,40424,40620,40700,40972,41128,41320,41492,41624,41916,42156,42392,42540,42840,3281,3295,3358,3441,3495,3503,3499,3281,3295,3358,3441,3495,3503,3499,3467,3507,3525,3527,3584,3566,3601,6.8,12.3,30,15,55,81.57,99.23
Essen,11016,342500,235000,3.97,0,22.19,22.19,16.89,8.94,25.83,31108,31372,31760,32200,32536,32756,32972,33116,33348,33416,33588,33708,33744,33868,33952,34048,34176,34316,34464,34584,34688,2064,2101,2164,2183,2246,2264,2348,2064,2101,2164,2183,2246,2264,2348,2355,2413,2397,2426,2458,2448,2457,2,4.1,35,15,50,29.8,85.13
Hemiksem,11018,288000,205000,7.69,0,25,23.08,17.31,10.26,16.67,18900,19112,19440,19816,20176,20452,20728,20936,21084,21328,21584,21876,22040,22260,22480,22660,22852,22988,23328,23400,23544,1302,1326,1399,1421,1443,1463,1498,1302,1326,1399,1421,1443,1463,1498,1516,1538,1564,1591,1610,1603,1619,1.9,3.9,31,16,53,93.38,99.77
Hove,11021,488000,330000,3.55,0,21.99,30.5,14.89,16.31,12.77,13340,13432,13544,13792,13836,13776,13812,13804,13748,13764,13796,13804,13888,13924,13880,13808,13756,13868,13904,13956,13948,866,886,904,932,946,931,927,866,886,904,932,946,931,927,918,907,903,910,937,955,948,0.8,1.7,17,14,69,71.23,99.31
